episode,date,pnl,max_drawdown,peak_pnl,trades,investment,total_reward,return_pct
68,2025-04-08,-116411.59,177618.83,61207.24,156,1000000.0,-38.9609,-11.6412
69,2025-04-09,-260206.48,382250.65,48420.87,34,1000000.0,-204.6219,-26.0206
70,2025-04-11,-185897.55,225191.5,31370.48,114,1000000.0,-126.6575,-18.5898
71,2025-04-15,-79754.33,86855.38,1043.05,38,1000000.0,-231.0603,-7.9754
72,2025-04-16,-47438.23,178414.05,120377.25,20,1000000.0,-50.6801,-4.7438
73,2025-04-17,105748.56,187490.04,166571.3,18,1000000.0,15.1682,10.5749
74,2025-04-21,-97881.23,145204.1,5687.45,18,1000000.0,-118.0718,-9.7881
75,2025-04-22,-103988.14,113150.62,0.0,18,1000000.0,-173.1026,-10.3988
76,2025-04-23,-147902.46,216771.19,45057.23,154,1000000.0,-77.9208,-14.7902
77,2025-04-24,-54107.87,350031.02,201846.3,169,1000000.0,-100.4469,-5.4108
78,2025-04-25,-47244.99,338498.54,245781.9,52,1000000.0,15.6136,-4.7245
79,2025-04-28,-93893.82,156743.82,18344.52,18,1000000.0,-122.9291,-9.3894
80,2025-04-29,-84247.8,148866.6,28119.9,68,1000000.0,-169.3167,-8.4248
81,2025-04-30,-133002.08,348907.64,128.67,18,1000000.0,-217.0319,-13.3002
82,2025-05-02,-102275.22,209277.79,1153.23,58,1000000.0,-139.179,-10.2275
83,2025-05-05,-167007.87,188062.41,4350.63,20,1000000.0,-204.5432,-16.7008
84,2025-05-06,-90011.05,105269.88,0.0,120,1000000.0,-230.2288,-9.0011
85,2025-05-07,-209512.94,298188.57,12894.56,176,1000000.0,-175.8387,-20.9513
86,2025-05-08,44494.05,193525.22,44494.05,81,1000000.0,-177.2712,4.4494
87,2025-05-09,-191992.64,210786.49,9820.13,122,1000000.0,-189.6151,-19.1993
88,2025-05-12,104601.94,95168.24,111422.23,24,1000000.0,40.3867,10.4602
89,2025-05-13,-133957.39,208914.33,34737.2,120,1000000.0,-177.7858,-13.3957
90,2025-05-14,-123316.63,285876.23,56187.83,134,1000000.0,-126.1106,-12.3317
91,2025-05-15,114041.67,266895.9,352519.96,142,1000000.0,128.3934,11.4042
92,2025-05-16,-182366.35,205882.23,6960.11,26,1000000.0,-186.5369,-18.2366
93,2025-05-19,-106038.24,148835.76,91.28,86,1000000.0,-215.0568,-10.6038
94,2025-05-20,9189.32,105461.28,9486.95,207,1000000.0,-123.527,0.9189
95,2025-05-21,-240136.09,308065.15,48229.99,18,1000000.0,-137.2803,-24.0136
96,2025-05-22,-6130.71,255587.4,84712.47,153,1000000.0,-160.625,-0.6131
97,2025-05-23,-138006.42,191489.56,37967.94,18,1000000.0,-108.8839,-13.8006
98,2025-05-26,-62974.66,105107.79,34576.28,192,1000000.0,-91.8483,-6.2975
99,2025-05-27,-80138.0,260098.15,175919.32,152,1000000.0,-32.6584,-8.0138
100,2025-05-28,-302982.0,353104.26,11542.47,184,1000000.0,-238.5549,-30.2982
101,2025-05-29,-48358.38,231662.11,1338.35,134,1000000.0,-146.3046,-4.8358
102,2025-05-30,-132262.49,227942.7,13019.34,228,1000000.0,-170.1118,-13.2262
103,2025-06-02,149.54,71937.99,17805.18,68,1000000.0,-109.9443,0.015
104,2025-06-03,-103306.83,163456.11,32790.19,94,1000000.0,-178.8418,-10.3307
105,2025-06-04,-185702.95,220347.85,0.0,58,1000000.0,-232.6515,-18.5703
106,2025-06-05,-87948.6,205720.15,82120.91,18,1000000.0,-89.9444,-8.7949
107,2025-06-06,98237.82,306593.21,377066.61,38,1000000.0,130.9858,9.8238
108,2025-06-09,-112457.75,118156.57,0.0,38,1000000.0,-235.0427,-11.2458
109,2025-06-10,-129847.95,144863.78,15015.83,22,1000000.0,-248.4495,-12.9848
110,2025-06-11,-49025.17,99931.11,27758.16,18,1000000.0,-58.2915,-4.9025
111,2025-06-12,56521.18,141626.69,124965.44,40,1000000.0,-10.6228,5.6521
112,2025-06-13,-152681.11,244377.53,7831.57,28,1000000.0,-190.3528,-15.2681
113,2025-06-16,9151.37,53688.77,34978.95,54,1000000.0,9.8928,0.9151
114,2025-06-17,-46788.02,70794.96,6357.23,54,1000000.0,-198.2346,-4.6788
115,2025-06-18,-39948.25,157092.12,59996.72,64,1000000.0,-72.5868,-3.9948
116,2025-06-19,-163576.27,285718.81,59478.29,18,1000000.0,-193.455,-16.3576
117,2025-06-20,-56741.5,166682.43,6864.9,18,1000000.0,-122.775,-5.6741
118,2025-06-23,-45168.25,64522.93,19354.68,52,1000000.0,-102.0917,-4.5168
119,2025-06-24,-11165.09,75989.85,28261.93,140,1000000.0,-35.1112,-1.1165
120,2025-06-25,-147425.17,217149.65,13922.48,22,1000000.0,-181.2156,-14.7425
121,2025-06-26,-48160.0,190982.63,36393.53,116,1000000.0,-70.9716,-4.816
122,2025-06-27,-116276.82,182484.92,21726.91,18,1000000.0,-172.3166,-11.6277
123,2025-06-30,-62343.68,94516.29,437.95,96,1000000.0,-159.588,-6.2344
124,2025-07-01,-28417.82,36885.43,832.74,54,1000000.0,-95.4556,-2.8418
125,2025-07-02,-48265.28,131264.76,7841.69,46,1000000.0,-101.4686,-4.8265
126,2025-07-03,-49513.69,247680.15,9439.5,31,1000000.0,-148.2575,-4.9514
127,2025-07-04,-108341.81,163678.26,15670.29,96,1000000.0,-154.7148,-10.8342
128,2025-07-07,-98647.68,127190.65,496.08,18,1000000.0,-200.3887,-9.8648
129,2025-07-08,-45025.39,66833.28,4014.38,30,1000000.0,-155.1227,-4.5025
130,2025-07-09,58487.64,163114.85,98122.03,61,1000000.0,-69.2351,5.8488
131,2025-07-10,28227.0,153548.74,28592.01,80,1000000.0,-139.0569,2.8227
132,2025-07-11,-70669.92,183620.36,103091.08,40,1000000.0,-56.6048,-7.067
133,2025-07-14,-14879.01,74459.03,22903.65,80,1000000.0,-84.0539,-1.4879
134,2025-07-15,5117.01,69876.47,39366.77,55,1000000.0,-8.0521,0.5117
135,2025-07-16,-54571.65,122494.5,47949.58,18,1000000.0,-57.4313,-5.4572
136,2025-07-17,-70490.73,164679.68,27902.94,158,1000000.0,-132.0899,-7.0491
137,2025-07-18,-21299.88,160446.79,115919.39,28,1000000.0,35.3629,-2.13
138,2025-07-21,-5670.49,95901.88,32624.76,22,1000000.0,-56.9753,-0.567
139,2025-07-22,-54983.27,69965.09,2903.56,90,1000000.0,-191.2181,-5.4983
140,2025-07-23,-54001.52,135858.19,22071.43,18,1000000.0,-95.5954,-5.4002
141,2025-07-24,31080.21,113634.21,92807.35,90,1000000.0,20.6677,3.108
142,2025-07-25,-110604.35,144602.02,26171.91,36,1000000.0,-91.0687,-11.0604
